reestr_number,href,stage,description,price,order_number,supplier1_organization,supplier1_inn,supplier2_organization,supplier2_inn,supplier3_organization,supplier3_inn,supplier4_organization,supplier4_inn,supplier5_organization,supplier5_inn
2301509334921000004,/epz/contract/contractCard/common-info.html?reestrNumber=2301509334921000004,Исполнение завершено,"№ 
                                        
                                        08255000007210000410001","10 032 680,00 ₽",825500000721000041,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ДИ-БИ-ЭС""",6167141112,,,,,,,,
2890103836421000002,/epz/contract/contractCard/common-info.html?reestrNumber=2890103836421000002,Исполнение завершено,"№ 
                                        
                                        1884","1 200 000,00 ₽",190200000321001884,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ЦИФРОВАЯ КОМПАНИЯ ""КРИСТА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ЦИФРОВАЯ КОМПАНИЯ ""КРИСТА"")",7604350794,,,,,,,,
2201600388221000007,/epz/contract/contractCard/common-info.html?reestrNumber=2201600388221000007,Исполнение,"№ 
                                        
                                        ЭА/0906","20 458 415,00 ₽",194200000521000906,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКАЙ-БЮДЖЕТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКАЙ-БЮДЖЕТ"")",9717031182,,,,,,,,
1770989550921002069,/epz/contract/contractCard/common-info.html?reestrNumber=1770989550921002069,Исполнение,"№ 
                                        
                                        ФКУ0105/04/2021/РИС","280 000 000,00 ₽",895100000121000022,"АКЦИОНЕРНОЕ ОБЩЕСТВО ЛАБОРАТОРИЯ НОВЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ""ЛАНИТ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ЛАБОРАТОРИЯ НОВЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ""ЛАНИТ"")",7727004113,,,,,,,,
2312344604821000010,/epz/contract/contractCard/common-info.html?reestrNumber=2312344604821000010,Исполнение завершено,"№ 
                                        
                                        9","9 100 000,00 ₽",126200000421000780,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕГРИКС""",7727730355,,,,,,,,
1770902424421000016,/epz/contract/contractCard/common-info.html?reestrNumber=1770902424421000016,Исполнение,"№ 
                                        
                                        002/ФРЦ/21","11 600 000,00 ₽",373100016421000002,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИТРОСДЭЙТА РУС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИТРОСДЭЙТА РУС"")",7729660520,,,,,,,,
3666100466121000026,/epz/contract/contractCard/common-info.html?reestrNumber=3666100466121000026,Исполнение завершено,"№ 
                                        
                                        ДИ.2021.347","1 100 000,00 ₽",162300005321000347,"Общество с ограниченной ответственностью ""Компания Экстрим про"" (Общество с ограниченной ответственностью ""Компания Экстрим про"")",6670082930,,,,,,,,
2771963160021000102,/epz/contract/contractCard/common-info.html?reestrNumber=2771963160021000102,Исполнение завершено,"№ 
                                        
                                        0373200101021000038_ЭК","2 500 000,00 ₽",373200101021000038,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ЗОЛЬД"" (ООО ""КОМПАНИЯ ЗОЛЬД"")",7709971862,,,,,,,,
3631580082021000008,/epz/contract/contractCard/common-info.html?reestrNumber=3631580082021000008,Исполнение завершено,"№ 
                                        
                                        15","566 805,50 ₽",342300000121000240,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЛАЙН"" (ООО ""СПЛАЙН"")",6313537877,,,,,,,,
2246619874421000012,/epz/contract/contractCard/common-info.html?reestrNumber=2246619874421000012,Исполнение завершено,"№ 
                                        
                                        212246619874424660100100380006201246","3 200 000,00 ₽",119200000121001285,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ"")",2463040452,,,,,,,,
2771482395821000016,/epz/contract/contractCard/common-info.html?reestrNumber=2771482395821000016,Исполнение,"№ 
                                        
                                        69-Р-041/21","28 250 000,00 ₽",873500000621000006,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ФАКТОР ПАЧОЛИ"" (ООО ""ЦИТ ФАКТОР ПАЧОЛИ"")",7733304549,,,,,,,,
2150100317021000004,/epz/contract/contractCard/common-info.html?reestrNumber=2150100317021000004,Исполнение завершено,"№ 
                                        
                                        0310200000321000525_115151","500 000,00 ₽",310200000321000525,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ЦЕНТР ""БАЗИС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ЦЕНТР ""БАЗИС"")",1326209313,,,,,,,,
1770656053621000025,/epz/contract/contractCard/common-info.html?reestrNumber=1770656053621000025,Исполнение,"№ 
                                        
                                        0011-06-21","215 000 000,00 ₽",173100010921000011,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"")",7707049388,,,,,,,,
1890102475621000050,/epz/contract/contractCard/common-info.html?reestrNumber=1890102475621000050,Исполнение завершено,"№ 
                                        
                                        87","410 105,76 ₽",390100007821000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕРРИТОРИЯ ПРАВА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕРРИТОРИЯ ПРАВА"")",8901014388,,,,,,,,
2770203815021000383,/epz/contract/contractCard/common-info.html?reestrNumber=2770203815021000383,Исполнение завершено,"№ 
                                        
                                        0173200001421000287","265 562 723,88 ₽",173200001421000287,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИНАНС-ИТ"" (ООО ""ФИНАНС-ИТ"")",7718916547,,,,,,,,
2890101721221000018,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000018,Исполнение завершено,"№ 
                                        
                                        25-2021","27 968 700,78 ₽",190200000321002159,"АКЦИОНЕРНОЕ ОБЩЕСТВО ЛАБОРАТОРИЯ НОВЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ""ЛАНИТ"" (АО ""ЛАНИТ"")",7727004113,,,,,,,,
2550307934121000013,/epz/contract/contractCard/common-info.html?reestrNumber=2550307934121000013,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0119","5 710 000,00 ₽",152200004721000119,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТАПРАЙМ"" (ООО ""МЕТАПРАЙМ"")",7802732322,,,,,,,,
2344414509921000018,/epz/contract/contractCard/common-info.html?reestrNumber=2344414509921000018,Исполнение,"№ 
                                        
                                        53-21","12 300 450,00 ₽",129200005321000360,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"")",7707049388,,,,,,,,
1771053836421000011,/epz/contract/contractCard/common-info.html?reestrNumber=1771053836421000011,Исполнение,"№ 
                                        
                                        27-юр","457 000 000,00 ₽",173100008521000006,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЮДЖЕТНЫЕ И ФИНАНСОВЫЕ ТЕХНОЛОГИИ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЮДЖЕТНЫЕ И ФИНАНСОВЫЕ ТЕХНОЛОГИИ"")",7706673610,,,,,,,,
2246503513721000119,/epz/contract/contractCard/common-info.html?reestrNumber=2246503513721000119,Исполнение завершено,"№ 
                                        
                                        0119200000121001410","1 091 866,67 ₽",119200000121001410,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕБЗАВОД"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕБЗАВОД"")",6315621958,,,,,,,,
2780204545721000035,/epz/contract/contractCard/common-info.html?reestrNumber=2780204545721000035,Исполнение завершено,"№ 
                                        
                                        03722000409210000300001","149 970,00 ₽",372200040921000030,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИСТА"" (ООО ""Виста"")",7802037992,,,,,,,,
2682901896321000002,/epz/contract/contractCard/common-info.html?reestrNumber=2682901896321000002,Исполнение,"№ 
                                        
                                        0164200003021000647_47175","15 900 000,00 ₽",164200003021000647,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕЙСИСТЕМС""",2128050753,,,,,,,,
3500800179921000009,/epz/contract/contractCard/common-info.html?reestrNumber=3500800179921000009,Исполнение,"№ 
                                        
                                        16-22.2021","360 000,00 ₽",848300057121000022,Соловьева Наталья Алексеевна,500707326272,,,,,,,,
2165542739521000043,/epz/contract/contractCard/common-info.html?reestrNumber=2165542739521000043,Исполнение,"№ 
                                        
                                        2021.007","3 102 750,00 ₽",811500001121000007,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-ПРОЕКТЫ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-ПРОЕКТЫ"")",1615013359,,,,,,,,
1027500646221000050,/epz/contract/contractCard/common-info.html?reestrNumber=1027500646221000050,Исполнение,"№ 
                                        
                                        128","1 386 840,00 ₽",101100000921000027,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-КЛАСС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-КЛАСС"")",0276106935,,,,,,,,
2344414509921000020,/epz/contract/contractCard/common-info.html?reestrNumber=2344414509921000020,Исполнение,"№ 
                                        
                                        55-21","4 150 000,00 ₽",129200005321000382,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БФТ-ЭКСПЕРТ"" (ООО ""БФТ-ЭКСПЕРТ"")",7810551859,,,,,,,,
2771482395821000024,/epz/contract/contractCard/common-info.html?reestrNumber=2771482395821000024,Исполнение прекращено,"№ 
                                        
                                        69-Р-050/21","78 700 000,00 ₽",173200001421000312,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОФТ КОМПАНИ"" (ООО ""СОФТ КОМПАНИ"")",7709454374,,,,,,,,
2770135608621000050,/epz/contract/contractCard/common-info.html?reestrNumber=2770135608621000050,Исполнение,"№ 
                                        
                                        50/05/21","65 000 000,00 ₽",173200001421000313,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ САЙТСОФТ"" (ООО ""КОМПАНИЯ САЙТСОФТ"")",6672286746,,,,,,,,
2470307759721000007,/epz/contract/contractCard/common-info.html?reestrNumber=2470307759721000007,Исполнение завершено,"№ 
                                        
                                        21000006","1 430 000,00 ₽",345200005921000006,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАНТЛАБ"" (ООО ""АВАНТЛАБ"")",7801381262,,,,,,,,
2263680575921000011,/epz/contract/contractCard/common-info.html?reestrNumber=2263680575921000011,Исполнение,"№ 
                                        
                                        10/21-ОЭК","1 591 300,00 ₽",821200001521000003,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕС ИТ"" (ООО ""БИЗНЕС ИТ"")",2635086195,,,,,,,,
3450102003721000005,/epz/contract/contractCard/common-info.html?reestrNumber=3450102003721000005,Исполнение,"№ 
                                        
                                        08435000002210005820001","747 576,00 ₽",843500000221000582,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕФЕЙ МАРКЕТ"" (ООО""ЦЕФЕЙ МАРКЕТ"")",4501100691,,,,,,,,
3861901488521000066,/epz/contract/contractCard/common-info.html?reestrNumber=3861901488521000066,Исполнение завершено,"№ 
                                        
                                        01873000017210000940001","130 539,99 ₽",187300001721000094,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БФТ-ЭКСПЕРТ"" (ООО ""БФТ-ЭКСПЕРТ"")",7810551859,,,,,,,,
2890101721221000019,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000019,Исполнение завершено,"№ 
                                        
                                        26-2021","361 593,75 ₽",190200000321002440,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНЛИМ-ИТ"" (ООО ""АНЛИМ-ИТ"")",7202226910,,,,,,,,
3861400732321000004,/epz/contract/contractCard/common-info.html?reestrNumber=3861400732321000004,Исполнение,"№ 
                                        
                                        55/21","7 300 000,00 ₽",187300003221000054,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯНЭНЕРГО"" (ООО ""ЯНЭНЕРГО"")",7813351008,,,,,,,,
2673200542421000001,/epz/contract/contractCard/common-info.html?reestrNumber=2673200542421000001,Исполнение,"№ 
                                        
                                        001","230 000,00 ₽",163200000321001254,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТРПРОГРАММСИСТЕМ"" (ООО ""ЦПС"")",3123055260,,,,,,,,
1784246167921000300,/epz/contract/contractCard/common-info.html?reestrNumber=1784246167921000300,Исполнение,"№ 
                                        
                                        84/2021-ЭА","5 641 650,00 ₽",372100052921000089,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТАЛАБ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТАЛАБ"")",7814756624,,,,,,,,
1781502228821000087,/epz/contract/contractCard/common-info.html?reestrNumber=1781502228821000087,Исполнение,"№ 
                                        
                                        17-21/ЭА","300 000,00 ₽",372100033821000037,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРАММ ПЛЮС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРАММ ПЛЮС"")",3702014835,,,,,,,,
1770540134021001500,/epz/contract/contractCard/common-info.html?reestrNumber=1770540134021001500,Исполнение,"№ 
                                        
                                        0373100128521000141","180 000 000,00 ₽",373100128521000141,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"")",7707049388,,,,,,,,
2753601057121000006,/epz/contract/contractCard/common-info.html?reestrNumber=2753601057121000006,Исполнение завершено,"№ 
                                        
                                        2386-ЭА","1 000 000,00 ₽",891200000621002301,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБРАЗОВАТЕЛЬНЫЕ ТЕХНОЛОГИИ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБРАЗОВАТЕЛЬНЫЕ ТЕХНОЛОГИИ"")",7718948436,,,,,,,,
2623411959521000006,/epz/contract/contractCard/common-info.html?reestrNumber=2623411959521000006,Исполнение завершено,"№ 
                                        
                                        18/2021","1 969 933,33 ₽",859200001121002143,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЛЕКСНЫЕ РЕШЕНИЯ"" (ООО ""КОМПЛЕКСНЫЕ РЕШЕНИЯ"")",7111500107,,,,,,,,
2771402996021000038,/epz/contract/contractCard/common-info.html?reestrNumber=2771402996021000038,Исполнение завершено,"№ 
                                        
                                        0373200020221000032_49674","4 496 666,67 ₽",373200020221000032,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАБОРАТОРИЯ ""АКРОСС-ИНЖИНИРИНГ"" (ООО ""ЛАБОРАТОРИЯ ""АКРОСС-ИНЖИНИРИНГ"")",7725558187,,,,,,,,
2770376666621000010,/epz/contract/contractCard/common-info.html?reestrNumber=2770376666621000010,Исполнение завершено,"№ 
                                        
                                        27-03/21","934 249,00 ₽",173500000421000026,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФЕССИОНАЛЬНЫЕ СИСТЕМЫ АВТОМАТИЗАЦИИ"" (ООО ""ПРОФЕССИОНАЛЬНЫЕ СИСТЕМЫ АВТОМАТИЗАЦИИ"")",7728353460,,,,,,,,
1732500169821000017,/epz/contract/contractCard/common-info.html?reestrNumber=1732500169821000017,Исполнение завершено,"№ 
                                        
                                        0368100013821000003","620 000,00 ₽",368100013821000003,БЕРДНИКОВА ЕЛЕНА ЮРЬЕВНА,344707599703,,,,,,,,
1770989550921002362,/epz/contract/contractCard/common-info.html?reestrNumber=1770989550921002362,Исполнение завершено,"№ 
                                        
                                        ФКУ0121/04/2021/РИС","134 900 000,00 ₽",895100000121000028,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГАНИЗАЦИОННО-ТЕХНОЛОГИЧЕСКИЕ РЕШЕНИЯ 2000"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГАНИЗАЦИОННО-ТЕХНОЛОГИЧЕСКИЕ РЕШЕНИЯ 2000"")",7718162032,,,,,,,,
1590229380521000094,/epz/contract/contractCard/common-info.html?reestrNumber=1590229380521000094,Исполнение прекращено,"№ 
                                        
                                        92","1 444 866,33 ₽",356100029621000024,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОГСТРИМ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОГСТРИМ"")",2725097681,,,,,,,,
2165904802021000077,/epz/contract/contractCard/common-info.html?reestrNumber=2165904802021000077,Исполнение,"№ 
                                        
                                        013","1 562 100,00 ₽",311200046521000013,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ВЫЧИСЛИТЕЛЬНЫХ СИСТЕМ - ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ВЫЧИСЛИТЕЛЬНЫХ СИСТЕМ - ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ"")",1660352650,,,,,,,,
2890101740621000004,/epz/contract/contractCard/common-info.html?reestrNumber=2890101740621000004,Исполнение,"№ 
                                        
                                        89-09-01-13/22 ДЭ","6 883 500,00 ₽",190200000321002636,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ЦИФРОВАЯ КОМПАНИЯ ""КРИСТА"" (ООО ""НЦК""КРИСТА"")",7604350794,,,,,,,,
2526094147121000007,/epz/contract/contractCard/common-info.html?reestrNumber=2526094147121000007,Исполнение,"№ 
                                        
                                        3ЭК-21","13 739 239,00 ₽",832200006621000136,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУНЕТСОФТ"" (ООО ""РУНЕТСОФТ"")",7806381636,,,,,,,,
2470312595621000021,/epz/contract/contractCard/common-info.html?reestrNumber=2470312595621000021,Исполнение завершено,"№ 
                                        
                                        1404","55 000 000,00 ₽",145200000421000272,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕТРИКА"" (ООО ""НЕТРИКА"")",7842388475,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИРТЕХ"" (АО ""ИРТЕХ"")",6311102655,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НТР ТОМСК"" (ООО ""НТР ТОМСК"")",7017118839,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВВХВ"" (ООО ""ВВХВ"")",7840075452,Поронько Павел Сергеевич,222332243778
2450112538221000012,/epz/contract/contractCard/common-info.html?reestrNumber=2450112538221000012,Исполнение завершено,"№ 
                                        
                                        08435000002210006480001","106 133,34 ₽",843500000221000648,СТЕБЛИНА ЕГОР ИГОРЕВИЧ,451002475100,,,,,,,,
